Iteration ,Eigenvalue, Projected Residual,Calculation Time,Step Size
0,-76.0728997327,0.00122838723641,1.087108,17.51809006
1,-76.0792788303,0.00673895587843,4.461126,6.60732373206
2,-76.0906544953,0.00964598933378,13.841476,5.86172856603
3,-76.1075681183,0.0126230062688,46.720698,5.02273213545
4,-76.1286693581,0.0147119173526,171.285941,4.49233764522
5,-76.1595722253,0.0173497741568,396.753244,4.69442953118
6,-76.1865652623,0.0165964767455,623.03589,4.54120001835
7,-76.2052311244,0.0144106192754,849.864274,3.80419283016
8,-76.2178750277,0.0116248859346,1076.603321,3.78012928625
9,-76.2253933657,0.0088537308021,1303.198593,3.91919983272
10,-76.2305608354,0.00727549625274,1529.912717,3.93748204186
11,-76.2341964659,0.00609189100779,1756.453584,3.70304960002
12,-76.2380720467,0.00600539502637,1983.442341,4.07326136134
13,-76.2421987933,0.00635981769371,2209.349593,4.38264847871
14,-76.2445364654,0.00489742130755,2435.01893,3.99752196559
15,-76.2464268185,0.00431424770566,2660.871864,3.82652674358
16,-76.2481042737,0.00399643564664,2886.961554,4.00770152531
17,-76.2491464427,0.00317042737115,3114.455514,3.86947072583
18,-76.2498325136,0.00260105134691,3341.890882,3.69698391498
19,-76.2502865205,0.00212039250666,3567.68191,3.5971650343
20,-76.2505889327,0.0017038535372,3793.895956,3.57401238617
21,-76.250797194,0.00138147965959,4019.686538,3.55066111789
22,-76.2509356549,0.00112753777809,4245.312669,3.57067059368
23,-76.2510286953,0.000944978781125,4471.043493,3.26103667754
24,-76.2511061383,0.000813679716271,4697.167076,3.45245086275
25,-76.2511735263,0.00070760076969,4922.314519,3.79236029567
26,-76.2512342047,0.000651519446375,5148.298882,4.01523997364
27,-76.2512882287,0.000629329148021,5374.552931,3.88449406337
28,-76.2513356545,0.000599741304668,5600.730568,3.77234556149
29,-76.2513761486,0.000551744409384,5827.08518,3.79112578529
