Iteration ,Eigenvalue, Projected Residual,Calculation Time,Step Size
0,-76.0743605367,0.0311784019404,0.930677,0.427661323547
1,-76.0783279471,0.224128371959,3.510469,0.158011392265
2,-76.0894205673,0.403448331139,10.536408,0.13653546273
3,-76.1093779941,0.632346155135,34.757893,0.100208462067
4,-76.1265690212,0.985279189014,118.860911,0.0353850559508
5,-76.1496756067,1.14673470083,270.819275,0.0348114173299
6,-76.1751173101,1.17409047058,423.364796,0.0364962702631
7,-76.1894712408,1.03594577288,576.494861,0.0263886894967
8,-76.202362894,0.823645064535,728.44412,0.0370664269811
9,-76.2108872335,0.827558716786,881.502857,0.0243444497621
10,-76.2195167456,0.664746507663,1034.041049,0.0376393643006
11,-76.2260346603,0.728516915973,1186.278676,0.0240333689208
12,-76.2323141307,0.613903400586,1338.402538,0.0323868813435
13,-76.2365369189,0.616597448613,1490.777651,0.0218223131298
14,-76.2398894454,0.467563529037,1643.883222,0.0297565111976
15,-76.2421344634,0.459588675262,1795.905949,0.0207539807937
16,-76.244053678,0.356146696471,1947.956391,0.0288886329096
17,-76.2455022679,0.372980997571,2100.020391,0.0201222932701
18,-76.2468549501,0.306363305839,2251.954169,0.0274323722154
19,-76.2478512791,0.327451948332,2404.599655,0.0181076789209
20,-76.2486473184,0.252203704478,2556.710656,0.0241307617224
21,-76.249193551,0.255657012397,2709.054018,0.0163495560961
22,-76.2495904436,0.188555490691,2861.334423,0.0215352059587
23,-76.2498668249,0.187824769445,3014.257792,0.0153389336749
24,-76.2500710518,0.142433032673,3166.028887,0.0194999840082
25,-76.2502242094,0.141435112295,3318.079242,0.0149314563535
26,-76.2503440144,0.111807899903,3470.614358,0.0184515045977
27,-76.250439251,0.11191824961,3623.738144,0.0147315159405
28,-76.2505199477,0.0930886292538,3776.331771,0.0178096303189
29,-76.2505881195,0.0949531030802,3928.639543,0.0145667634558
30,-76.2506492721,0.0823627981499,4081.681178,0.0171143297183
31,-76.250702956,0.0850542656473,4234.297838,0.0142020271019
